ID;Frage_original_EN;internal ID
1;List all boardgames by GMT.;0
2;Who developed Skype?;1
3;Which people were born in Heraklion?;2
4;In which U.S. state is Area 51 located?;3
5;Who is the mayor of New York City?;4
6;Which countries have places with more than two caves?;5
7;Where did Abraham Lincoln die?;6
8;Which airports does Air China serve?;7
9;Give me all actors starring in movies directed by and starring William Shatner.;8
10;What are the official languages of the Philippines?;9
11;Give me all Danish films.;10
12;Which movies starring Brad Pitt were directed by Guy Ritchie?;11
13;Give me the grandchildren of Bruce Lee.;12
14;Which other weapons did the designer of the Uzi develop?;13
15;Who is the owner of Universal Studios?;14
16;Which state of the USA has the highest population density?;15
17;Which monarchs were married to a German?;16
18;Which organizations were founded in 1950?;17
19;Who created the comic Captain America?;18
20;Give me the Apollo 14 astronauts.;19
21;Who wrote the book The pillars of the Earth?;20
22;Which state of the United States of America has the highest density?;21
23;Which spaceflights were launched from Baikonur?;22
24;Give me a list of all trumpet players that were bandleaders.;23
25;Which U.S. states are in the same timezone as Utah?;24
26;Which U.S. states possess gold minerals?;25
27;Who is the daughter of Ingrid Bergman married to?;26
28;How deep is Lake Placid?;27
29;Show me all museums in London.;28
30;Which caves have more than 3 entrances?;29
31;Who is the tallest player of the Atlanta Falcons?;30
32;What are the top-10 action role-playing video games according to IGN?;31
33;Give me all writers that won the Nobel Prize in literature.;32
34;Show me all basketball players that are higher than 2 meters.;33
35;When was the Statue of Liberty built?;34
36;Which states border Illinois?;35
37;Who developed Minecraft?;36
38;Where did Hillel Slovak die?;37
39;What movies does Jesse Eisenberg play in?;38
40;Give all swimmers that were born in Moscow.;39
41;Give me all cosmonauts.;40
42;Give me all Swiss non-profit organizations.;41
43;Which presidents were born in 1945?;42
44;What kind of music did Lou Reed play?;43
45;Where do the Red Sox play?;44
46;Show a list of soccer clubs that play in the Bundesliga.;45
47;Which volcanos in Japan erupted since 2000?;46
48;Which bridges cross the Seine?;47
49;What is the official color of the University of Oxford?;48
50;How many films did Hal Roach produce?;49
51;Give me all Danish movies.;50
52;What is the most frequent cause of death?;51
53;Who are the four youngest MVP basketball players?;52
54;Give me all companies in Munich.;53
55;Give me the capitals of all countries that the Himalayas run through.;54
56;How many movies did Park Chan-wook direct?;55
57;Which rivers flow into a German lake?;56
58;How many airlines are there?;57
59;Give me all islands that belong to Japan.;58
60;How many inhabitants does Maribor have?;59
61;Give me all Apollo 14 astronauts.;60
62;Which companies have more than 1 million employees?;61
63;In which films directed by Garry Marshall was Julia Roberts starring?;62
64;Give me all soccer clubs in the Premier League.;63
65;What is the highest place of the Urals?;64
66;Who is the governor of Wyoming?;65
67;Where did the architect of the Eiffel Tower study?;66
68;Give me all world heritage sites designated within the past two years.;67
69;Give me all actors who were born in Paris after 1950.;68
70;Which movies star both Liz Taylor and Richard Burton?;69
71;Give me all Australian nonprofit organizations.;70
72;Which pope succeeded John Paul II?;71
73;Give me all ESA astronauts.;72
74;Who was president of Pakistan in 1978?;73
75;Who is the owner of Rolls-Royce?;74
76;How many museums does Paris have?;75
77;Where was JFK assassinated?;76
78;Give me all federal chancellors of Germany.;77
79;Show me everyone who was born on Halloween.;78
80;Which beer originated in Ireland?;79
81;To which countries does the Himalayan mountain system extend?;80
82;Which actors were born in Germany?;81
83;How much carbs does peanut butter have?;82
84;Who produced the most films?;83
85;How many employees does Google have?;84
86;Give me all actors who were born in Berlin.;85
87;Who created Goofy?;86
88;Which music albums contain the song Last Christmas?;87
89;When was Alberta admitted as province?;88
90;How many missions does the Soyuz programme have?;89
91;Give me all the TV shows with Neil Patrick Harris.;90
92;When were the Hells Angels founded?;91
93;What is the net income of Apple?;92
94;Give me all Swedish holidays.;93
95;In which city was the former Dutch queen Juliana buried?;94
96;List all the musicals with music by Leonard Bernstein.;95
97;Give me all companies in the advertising industry.;96
98;What is the largest metropolitan area in Washington state?;97
99;Who killed John Lennon?;98
100;Which writers studied in Istanbul?;99
101;Give me all Australian metalcore bands.;100
102;Which countries adopted the Euro?;101
103;Give me all types of eating disorders.;102
104;Was Marc Chagall a jew?;103
105;What was Brazil's lowest rank in the FIFA World Ranking?;104
106;How many films did Leonardo DiCaprio star in?;105
107;Was Margaret Thatcher a chemist?;106
108;Which U.S. states are in the same time zone as Utah?;107
109;Give me all books written by Danielle Steel.;108
110;Which country has the most official languages?;109
111;What is the total amount of men and women serving in the FDNY?;110
112;Which actor played Chewbacca?;111
113;Give me all libraries established earlier than 1400.;112
114;Which programming languages were influenced by Perl?;113
115;In which U.S. state is Mount McKinley located?;114
116;What airlines are part of the SkyTeam alliance?;115
117;Which ships were called after Benjamin Franklin?;116
118;Give me all Methodist politicians.;117
119;What other books have been written by the author of The Fault in Our Stars?;118
120;What is the highest mountain?;119
121;Which poet wrote the most books?;120
122;Which programming languages influenced Javascript?;121
123;Which musician wrote the most books?;122
124;Which films starring Clint Eastwood did he direct himself?;123
125;Which software has been developed by organizations founded in California?;124
126;Which instruments does Cat Stevens play?;125
127;How many airlines are members of the Star Alliance?;126
128;Give me all actors called Baldwin.;127
129;Who wrote The Hunger Games?;128
130;For which label did Elvis record his first album?;129
131;Is Christian Bale starring in Batman Begins?;130
132;Where is the residence of the prime minister of Spain?;131
133;Which actor was casted in the most movies?;132
134;Which countries have more than two official languages?;133
135;Which countries have more than ten caves?;134
136;Show me all songs from Bruce Springsteen released between 1980 and 1990.;135
137;Which television shows were created by John Cleese?;136
138;When did Latvia join the EU?;137
139;Which soccer players were born on Malta?;138
140;How many politicians graduated from Columbia University?;139
141;Give me the birthdays of all actors of the television show Charmed.;140
142;Which telecommunications organizations are located in Belgium?;141
143;Give me a list of all lakes in Denmark.;142
144;How many children does Eddie Murphy have?;143
145;Show me all English Gothic buildings in Kent.;144
146;Who is the manager of Real Madrid?;145
147;In which countries can you pay using the West African CFA franc?;146
148;Which holidays are celebrated around the world?;147
149;What is the longest river?;148
150;Which organizations were founded in 1930?;149
151;What is the birth name of Angela Merkel?;150
152;Who has Tom Cruise been married to?;151
153;Which weapons did Heckler & Koch develop?;152
154;What is the smallest city by area in Germany?;153
155;What is the ruling party in Lisbon?;154
156;How heavy is Jupiter's lightest moon?;155
157;How many employees does IBM have?;156
158;List all episodes of the first season of the HBO television series The Sopranos!;157
159;What does ICRO stand for?;158
160;Does the new Battlestar Galactica series have more episodes than the old one?;159
161;Give me all films produced by Hal Roach.;160
162;Who played Agent Smith in Matrix?;161
163;Which Greek parties are pro-European?;162
164;Give me a list of all bandleaders that play trumpet.;163
165;What is the second highest mountain on Earth?;164
166;Is Egypts largest city also its capital?;165
167;Which rockets were launched from Baikonur?;166
168;How many programming languages are there?;167
169;Which Chess players died in the same place they were born in?;168
170;Who is the owner of Facebook?;169
171;Give me all movies with Tom Cruise.;170
172;In which U.S. state is Fort Knox located?;171
173;Give me all cities in New Jersey with more than 100000 inhabitants.;172
174;Which mountains are higher than the Nanga Parbat?;173
175;Give me all B-sides of the Ramones.;174
176;What are the specialities of the UNC Health Care?;175
177;When was Olof Palme shot?;176
178;List the seven kings of Rome.;177
179;Give me all people that were born in Vienna and died in Berlin.;178
180;Is Darth Vader Luke’s father?;179
181;Show me all the breweries in Australia.;180
182;Give me all films produced by Steven Spielberg with a budget of at least $80 million.;181
183;Give me all soccer clubs in Spain.;182
184;Who produced films starring Natalie Portman?;183
185;Give me all breeds of the German Shepherd dog.;184
186;Who is the heaviest player of the Chicago Bulls?;185
187;Which languages are spoken in Estonia?;186
188;What is the largest country in the world?;187
189;What is the largest city in america?;188
190;Who was the pope that founded the Vatican Television?;189
191;Who discovered Ceres?;190
192;Who is the king of the Netherlands?;191
193;Is Cola a beverage?;192
194;What is the alma mater of the chancellor of Germany Angela Merkel?;193
195;Who wrote the book Les Piliers de la terre?;194
196;Which airports does Yeti Airlines serve?;195
197;Where is the birthplace of Goethe?;196
198;Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?;197
199;Which ingredients do I need for carrot cake?;198
200;Who created Wikipedia?;199
201;What is the highest mountain in Saxony Germany?;200
202;Who is the current federal minister of finance in Germany?;201
203;In which country is Mecca located?;202
204;Who played Gus Fring in Breaking Bad?;203
205;In which country does the Nile start?;204
206;In which state Penn State University is located?;205
207;What is the biggest stadium in Spain?;206
208;Who is the coach of Ankara's ice hockey team?;207
209;How large is the area of UK?;208
210;Who created Batman?;209
211;Was Sigmund Freud married?;210
212;Who are the developers of DBpedia?;211
213;Give me all movies directed by Francis Ford Coppola.;212
214;Are tree frogs a type of amphibian?;213
215;What is the location of the Houses of Parliament?;214
216;how much is the elevation of Düsseldorf Airport ?;215
217;How much is the population of mexico city ?;216
218;when was the founding date of french fifth republic?;217
219;Who was the first King of England?;218
220;Who is the editor of Forbes?;219
221;Which awards did Douglas Hofstadter win?;220
222;Who is the youngest Darts player?;221
223;Is horse racing a sport?;222
224;Which river does the Brooklyn Bridge cross?;223
225;How many people live in Poland?;224
226;When was the last episode of the TV series Friends aired?;225
227;Is the wife of president Obama called Michelle?;226
229;Who is 8th president of US?;227
230;how much is the total population of european union?;228
231;Give me all launch pads operated by NASA.;229
232;Who developed the video game World of Warcraft?;230
233;What is the birth name of Adele?;231
234;What is the population of Cairo?;232
235;Is Frank Herbert still alive?;233
236;What is the last work of Dan Brown?;234
237;Where is Sungkyunkwan University?;235
238;Who is the author of the interpretation of dreams?;236
239;When was the death of Shakespeare?;237
241;Who developed Slack?;238
242;Where is the origin of Carolina reaper?;239
243;In which year was Rachel Stevens born?;240
244;How often did Jane Fonda marry?;241
245;Was the wife of president Lincoln called Mary?;242
246;Which cities does the Weser flow through?;243
247;In which programming language is GIMP written?;244
248;Which university did Angela Merkel attend?;245
249;List all the musicals with music by Elton John.;246
250;How many Aldi stores are there?;247
251;What is the longest river in the world?;248
252;When was John Adams born?;249
253;Which companies produce hovercrafts?;250
254;Who was the wife of U.S. president Lincoln?;251
255;Which species does an elephant belong?;252
256;How many people live in the capital of Australia?;253
257;In which ancient empire could you pay with cocoa beans?;254
258;How many theories did Albert Einstein come up with?;255
259;Who composed the soundtrack for Cameron's Titanic?;256
260;Give me the runtime of Toy Story.;257
262;With how many countries Iran has borders?;258
263;Which electronics companies were founded in Beijing?;259
264;Who was the successor of John F. Kennedy?;260
265;Who is the mayor of Paris?;261
266;Did Arnold Schwarzenegger attend a university?;262
267;Is James Bond married?;263
268;Does the Isar flow into a lake?;264
269;Which Indian company has the most employees?;265
270;Who was John F. Kennedy's vice president?;266
271;Which country does the creator of Miffy come from?;267
273;In what city is the Heineken brewery?;268
274;Is Barack Obama a democrat?;269
275;List the children of Margaret Thatcher.;270
276;From which region is the Melon de Bourgogne?;271
278;how big is the total area of North Rhine- Westphalia?;272
279;Which city has the most inhabitants?;273
280;What is Donald Trump's main business?;274
281;When will start the final match of the football world cup 2018?;275
282;Which films did Stanley Kubrick direct?;276
283;how much is the population Iraq?;277
284;How many inhabitants does the largest city in Canada have?;278
285;Who is the mayor of the capital of French Polynesia?;279
286;Give me all actors starring in movies directed by William Shatner.;280
287;How tall is Claudia Schiffer?;281
288;how much is the population densty rank of germany?;282
289;What is the highest mountain in Italy?;283
290;List all games by GMT.;284
291;What is the official language of Suriname?;285
292;In which city did Nikos Kazantzakis die?;286
293;What is in a chocolate chip cookie?;287
294;In which country is the Limerick Lake?;288
295;Give me all video games published by Mean Hamster Software.;289
296;Give me all members of Prodigy.;290
297;In which time zone is Rome?;291
298;How high is the lighthouse in Colombo?;292
299;Who are the writers of the Wall album of Pink Floyd?;293
300;Who is the mayor of Rotterdam?;294
301;What is the largest city in Australia?;295
302;Who was married to president Chirac?;296
303;What form of government is found in South Africa?;297
304;How high is the Yokohama Marine Tower?;298
305;Which holidays are celebrated around the world?;299
306;Who is the tallest basketball player?;300
307;How many languages are spoken in Turkmenistan?;301
308;Did Che Guevara have children?;302
309;Did Kaurismäki ever win the Grand Prix at Cannes?;303
310;To which party does the mayor of Paris belong?;304
311;Who is the Formula 1 race driver with the most races?;305
312;What country is Sitecore from?;306
313;Give me the birth place of Frank Sinatra.;307
314;Is Christian Bale starring in Velvet Goldmine?;308
315;Who is the son of Sonny and Cher?;309
316;How many ethnic groups live in Slovenia?;310
317;What is the capital of Cameroon?;311
318;Was Natalie Portman born in the United States?;312
319;How many pages does War and Peace have?;313
320;Who is the oldest child of Meryl Streep?;314
321;Which television shows were created by Walt Disney?;315
322;What does IYCM stand for?;316
323;Which types of grapes grow in Oregon?;317
324;Was U.S. president Jackson involved in a war?;318
325;When was the Titanic completed?;319
326;Did Tesla win a nobel prize in physics?;320
327;How many states are in Mexico?;321
328;Which scientist is known for the Manhattan Project and the Nobel Peace Prize?;322
329;How much did the Lego Movie cost?;323
330;Who composed the music for Harold and Maude?;324
331;List all episodes of the first season of the HBO television series The Sopranos.;325
332;Which city has the least inhabitants?;326
333;Where is Syngman Rhee buried?;327
334;Does Neymar play for Real Madrid?;328
335;Who wrote the book The Pillars of the Earth?;329
336;Do Prince Harry and Prince William have the same parents?;330
337;Who was the doctoral supervisor of Albert Einstein?;331
338;Does Breaking Bad have more episodes than Game of Thrones?;332
339;Who was Vincent van Gogh inspired by?;333
340;Which building after the Burj Khalifa has the most floors?;334
341;What was the final result of the War of the Roses?;335
342;How much did Pulp Fiction cost?;336
343;Is proinsulin a protein?;337
344;Do Urdu and Persian have a common root?;338
345;Who is starring in Spanish movies produced by Benicio del Toro?;339
346;Is Lake Baikal bigger than the Great Bear Lake?;340
347;Show me all books in Asimov's Foundation series.;341
348;Where was Bach born?;342
349;Which city has the oldest running metro?;343
350;Who designed the Brooklyn Bridge?;344
351;How many people live in Eurasia?;345
352;Who is the host of the BBC Wildlife Specials?;346
353;What is the total population of Melbourne, Florida?;347
354;What country is Mount Everest in?;348
355;To which artistic movement did the painter of The Three Dancers belong?;349
356;When did Operation Overlord commence?;350
357;What is the bridge with the longest span?;351
358;Is there a video game called Battle Chess?;352
359;Who was buried in the Great Pyramid of Giza?;353
360;Does the Ford Motor Company have a manufacturing plant in Malaysia?;354
361;Did Socrates influence Aristotle?;355
362;How many children did Benjamin Franklin have?;356
363;How tall is Michael Jordan?;357
364;In which UK city are the headquarters of the MI6?;358
365;Who created Family Guy?;359
366;In which city does the Chile Route 68 end?;360
367;Give me the grandchildren of Elvis Presley.;361
368;When did the Ming dynasty dissolve?;362
369;In which military conflicts did Lawrence of Arabia participate?;363
370;What is the timezone in San Pedro de Atacama?;364
371;Give me all books by William Goldman with more than 300 pages.;365
372;What did Bruce Carver die from?;366
373;Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?;367
374;Does Abraham Lincoln's death place have a website?;368
375;Did Elvis Presley have children?;369
376;Is Michelle Obama the wife of Barack Obama?;370
377;In which city does Sylvester Stallone live?;371
378;Which books by Kerouac were published by Viking Press?;372
379;Who wrote the song Hotel California?;373
380;What is the capital of Canada?;374
381;Who is the mayor of Tel Aviv?;375
382;What form of government does Russia have?;376
383;Show me the book that Muhammad Ali wrote.;377
384;Who was the first to climb Mount Everest?;378
385;How many languages are spoken in Colombia?;379
386;What is the currency of the Czech Republic?;380
387;Where in France is sparkling wine produced?;381
388;When did Boris Becker end his active career?;382
389;Which movies starring Mickey Rourke were directed by Guy Ritchie?;383
390;In which films did Julia Roberts as well as Richard Gere play?;384
391;Show me Hemingway's autobiography.;385
392;How tall is Amazon Eve?;386
393;What are the five boroughs of New York?;387
394;Give me all Canadian Grunge record labels.;388
395;In which country does the Ganges start?;389
396;Who is the founder of Penguin Books?;390
397;Who wrote the Game of Thrones theme?;391
398;Who is the president of Eritrea?;392
399;In which city did John F. Kennedy die?;393
400;What is the highest mountain in Australia?;394
401;Who writes the Farmers' Almanac?;395
402;Give me the currency of China.;396
403;Give me all Swedish oceanographers.;397
404;In which city are the headquarters of the United Nations?;398
405;Is Rita Wilson the wife of Tom Hanks?;399
406;In which countries do people speak Japanese?;400
407;Which of Tim Burton's films had the highest budget?;401
408;Which museum in New York has the most visitors?;402
409;What was the first Queen album?;403
410;What was the first name of the band Queens of the Stone Age?;404
411;What was the last movie with Alec Guinness?;405
412;Give me all actors starring in Last Action Hero.;406
413;Who discovered Pluto?;407
99;What is the time zone of Salt Lake City?;408
98;Who killed Caesar?;409
86;What is the highest mountain in Germany?;410
84;Which American presidents were in office during the Vietnam War?;411
81;Butch Otter is the governor of which U.S. state?;412
73;How many gold medals did Michael Phelps win at the 2008 Olympics?;413
66;Which artists were born on the same date as Rachel Stevens?;414
64;What is the profession of Frank Herbert?;415
6;Are Taiko some kind of Japanese musical instrument?;416
56;How many seats does the home stadium of FC Porto have?;417
49;Which frequent flyer program has the most airlines?;418
44;Which European countries have a constitutional monarchy?;419
42;Which countries have places with more than two caves?;420
4;Which airports are located in California, USA?;421
37;What are the nicknames of San Francisco?;422
32;What is Angela Merkel’s birth name?;423
31;Who is the mayor of Berlin?;424
29;Which countries in the European Union adopted the Euro?;425
23;Which software has been published by Mean Hamster Software?;426
68;Which country was Bill Gates born in?;427
22;How many grand-children did Jacques Cousteau have?;428
214;Give me all professional skateboarders from Sweden.;429
210;Which monarchs of the United Kingdom were married to a German?;430
199;Give me all Argentine films.;431
203;How did Michael Jackson die?;432
197;Which U.S. state has been admitted latest?;433
196;Which classes does the Millepede belong to?;434
188;Give me the homepage of Forbes.;435
187;Who is the husband of Amanda Palmer?;436
176;Who painted The Storm on the Sea of Galilee?;437
62;What is the highest place of Karakoram?;438
173;When did Finland join the EU?;439
168;Which actors play in Big Bang Theory?;440
166;Which computer scientist won an oscar?;441
160;Who wrote Harry Potter?;442
158;Give me all writers that won the Nobel Prize in literature.;443
157;Give me English actors starring in Lovesick.;444
155;What is the nick name of Baghdad?;445
150;In which city was the president of Montenegro born?;446
149;Which U.S. state has the highest population density?;447
25;What is the longest river in China?;448
143;What is the area code of Berlin?;449
140;How many scientists graduated from an Ivy League university?;450
139;Which professional surfers were born in Australia?;451
137;Give me all Dutch parties.;452
136;How many moons does Mars have?;453
134;What is Batman's real name?;454
132;What is Elon Musk famous for?;455
128;Who is the author of WikiLeaks?;456
126;Sean Parnell was the governor of which U.S. state?;457
125;How many years was the Ford Model T manufactured?;458
124;When was Carlo Giuliani shot?;459
123;Give me all animals that are extinct.;460
122;Who was the wife of President Lincoln?;461
111;How many awards has Bertrand Russell?;462
117;Is Pamela Anderson a vegan?;463
59;Which space probes were sent into orbit around the sun?;464
113;Which German cities have more than 250000 inhabitants?;465
104;Who is the daughter of Robert Kennedy married to?;466
10;How many students does the Free University of Amsterdam have?;467
1;What is the revenue of IBM?;468
178;How many James Bond movies do exist?;469
129;Who does the voice of Bart Simpson?;470
183;Who was Tom Hanks married to?;471
181;Through which countries does the Yenisei river flow?;472
7;Give me all cars that are produced in Germany.;473
135;When did Michael Jackson die?;474
50;What is the highest volcano in Africa?;475
39;Which poet wrote the most books?;476
83;Give me all gangsters from the prohibition era.;477
71;Give me all spacecrafts that flew to Mars.;478
213;Show me all Czech movies.;479
209;Give me all taikonauts.;480
105;Which countries have more than ten volcanoes?;481
52;Give me all movies with Tom Cruise.;482
102;When did Dracula's creator die?;483
21;Who created English Wikipedia?;484
34;Give me all female German chancellors.;485
145;Who owns Aldi?;486
154;Which books were written by Danielle Steel?;487
198;Who was influenced by Socrates?;488
162;How deep is Lake Chiemsee?;489
212;Which companies work in the aerospace industry as well as in medicine?;490
96;Which professional surfers were born on the Philippines?;491
40;Who were the parents of Queen Victoria?;492
79;Are there any castles in the United States?;493
141;Which languages are spoken in Estonia?;494
80;Give me a list of all critically endangered birds.;495
159;Which countries are connected by the Rhine?;496
107;Who was the father of Queen Elizabeth II?;497
163;Give me all chemical elements.;498
211;Give me all American presidents of the last 20 years.;499
51;When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?;500
144;Whom did Lance Bass marry?;501
167;Which subsidiary of TUI Travel serves both Glasgow and Dublin?;502
131;What languages are spoken in Pakistan?;503
120;Who is the daughter of Bill Clinton married to?;504
164;Who was on the Apollo 11 mission?;505
88;What is the wavelength of Indigo?;506
151;Give me all B-sides of the Ramones.;507
63;Who was called Scarface?;508
27;Which rivers flow into the North Sea?;509
156;Where is Fort Knox located?;510
207;Which daughters of British earls died at the same place they were born at?;511
24;How many emperors did China have?;512
133;What are the names of the Teenage Mutant Ninja Turtles?;513
103;Where does Piccadilly start?;514
165;What is the name of the university where Obama's wife studied?;515
108;When did Paraguay proclaim its independence?;516
15;How short is the shortest active NBA player?;517
45;Where did Abraham Lincoln die?;518
82;When was Jack Wolfskin founded?;519
9;In which city is the headquarter of Air China?;520
201;What is the founding year of the brewery that produces Pilsner Urquell?;521
171;When did the Boston Tea Party take place?;522
182;Which animals are critically endangered?;523
13;Which politicians were married to a German?;524
114;How big is the earth's diameter?;525
92;Is the wife of President Obama called Michelle?;526
194;Which U.S. state has the abbreviation MN?;527
175;When did Muhammad die?;528
26;What is the atmosphere of the Moon composed of?;529
60;Who is the governor of Texas?;530
110;Which movies did Kurosawa direct?;531
206;What was the name of the famous battle in 1836 in San Antonio?;532
97;Give me the official websites of actors of the television show Charmed.;533
20;How many calories does a baguette have?;534
169;Give me all libraries established before 1400.;535
38;Give me all Frisian islands that belong to the Netherlands.;536
192;Which museum exhibits The Scream by Munch?;537
78;When was the De Beers company founded?;538
19;Who became president after JFK died?;539
190;Who are the parents of the wife of Juan Carlos I?;540
174;Who is the novelist of the work a song of ice and fire?;541
189;In which studio did the Beatles record their first album?;542
152;Which beer brewing companies are located in North-Rhine Westphalia?;543
94;When did princess Diana die?;544
8;Who founded Intel?;545
95;Who is the youngest player in the Premier League?;546
119;Which instruments does Cat Stevens play?;547
115;How many rivers and lakes are in South Carolina?;548
116;Who was called Rodzilla?;549
138;Give me the capitals of all countries in Africa.;550
177;Which bridges are of the same type as the Manhattan Bridge?;551
101;How many companies were founded by the founder of Facebook?;552
14;Show me hiking trails in the Grand Canyon where there's no danger of flash floods.;553
87;Which book has the most pages?;554
148;What is the largest state in the United States?;555
43;Give me the websites of companies with more than 500000 employees.;556
179;What were the names of the three ships by Columbus?;557
